,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
164,F29578,5926,C,3.0,2019-09-20 12:42:25.000,2019-09-20,2019-09-20 00:00:00,2019-09-20,2019-09-30,777.1,0.0,0.0
189,F29603,3222,C,3.0,2019-09-23 10:48:14.000,2019-09-23,2019-09-23 00:00:00,2019-09-23,2019-09-23,1363.2600000000002,0.0,0.0
198,F29612,664,C,2.0,2019-09-23 13:43:03.000,2019-09-23,2019-09-25 00:00:00,2019-10-08,2019-09-23,10463.01,0.0,0.0
199,F29613,664,C,2.0,2019-09-23 13:45:05.000,2019-09-23,2019-09-18 00:00:00,2019-10-08,2019-09-23,4232.25,0.0,0.0
201,F29615,664,C,2.0,2019-09-23 13:56:43.000,2019-09-23,2019-09-18 00:00:00,2019-10-08,2019-09-23,4232.25,0.0,0.0
214,F29628,4427,C,1.0,2019-09-24 12:05:34.000,2019-09-24,2019-09-24 00:00:00,2019-09-24,2019-09-24,287.1,0.0,0.0
230,F29644,6852,C,2.0,2019-09-25 12:29:02.000,2019-09-25,2019-09-25 00:00:00,2019-09-25,2019-09-25,1269.88,0.0,0.0
261,F29675,2029,C,3.0,2019-09-27 09:47:42.000,2019-09-27,2019-09-27 00:00:00,2019-10-12,2019-09-27,21024.0,0.0,0.0
272,F29686,4563,C,2.0,2019-09-27 16:09:53.000,2019-09-27,2019-09-27 00:00:00,2019-09-27,2019-09-30,3662.76,0.0,0.0
356,F29772,2265,C,2.0,2019-10-03 17:24:07.000,2019-10-03,2019-10-03 00:00:00,2019-10-18,2019-10-03,1701.9,0.0,0.0
411,F29827,1852,C,2.0,2019-10-08 11:29:07.000,2019-10-08,2019-10-08 00:00:00,2019-10-23,2019-10-08,659.8,0.0,0.0
442,F29858,6435,C,6.0,2019-10-10 12:01:24.000,2019-10-10,2019-09-10 00:00:00,2019-10-10,2019-10-10,301.36106,0.0,0.0
448,F29864,664,C,2.0,2019-10-10 14:17:24.000,2019-10-10,2019-10-10 00:00:00,2019-10-25,2019-10-10,4232.25,0.0,0.0
458,F29874,417,C,2.0,2019-10-11 09:19:12.000,2019-10-11,2019-10-11 00:00:00,2019-10-26,2019-10-11,6221.800000000001,0.0,0.0
490,F29906,1686,C,2.0,2019-10-15 10:47:54.000,2019-10-15,2019-10-08 00:00:00,2019-10-15,2019-10-15,315.0,0.0,0.0
509,F29925,6878,C,2.0,2019-10-16 18:25:54.000,2019-10-16,2019-10-16 00:00:00,2019-10-16,2019-10-17,1249.0,0.0,0.0
516,F29932,4779,C,1.0,2019-10-17 10:33:14.000,2019-10-17,2019-10-17 00:00:00,2019-11-16,2019-10-17,24408.0,0.0,0.0
568,F29984,3108,C,2.0,2019-10-22 17:16:44.000,2019-10-22,2019-10-08 00:00:00,2019-10-22,2019-10-22,1358.41,0.0,0.0
602,F30018,6892,C,2.0,2019-10-24 11:01:28.000,2019-10-24,2019-10-24 00:00:00,2019-10-24,2019-10-24,450.862,0.0,0.0
679,F30095,6906,C,2.0,2019-10-31 10:34:46.000,2019-10-31,2019-10-31 00:00:00,2019-10-31,2019-11-01,3475.5172,0.0,0.0
742,F30158,5926,C,2.0,2019-11-05 13:02:37.000,2019-11-05,2019-11-05 00:00:00,2019-11-05,2019-11-07,276.0,0.0,0.0
761,F30177,6915,C,2.0,2019-11-07 10:07:03.000,2019-11-07,2019-11-07 00:00:00,2019-11-07,2019-11-07,644.0,0.0,0.0
770,F30186,6211,C,2.0,2019-11-07 12:56:12.000,2019-11-07,2019-11-07 00:00:00,2019-11-07,2019-11-08,406.0,0.0,0.0
795,F30211,2846,C,2.0,2019-11-11 14:20:47.000,2019-11-11,2019-11-11 00:00:00,2019-11-11,2019-11-12,918.7500000000001,0.0,0.0
801,F30217,5593,C,2.0,2019-11-11 17:12:26.000,2019-11-11,2019-11-07 00:00:00,2019-11-26,2019-11-12,6336.800000000001,0.0,0.0
884,F30300,6938,C,2.0,2019-11-20 10:37:42.000,2019-11-20,2019-11-20 00:00:00,2019-11-20,2019-11-20,926.4700000000001,0.0,0.0
897,F30313,3222,C,3.0,2019-11-20 17:46:32.000,2019-11-20,2019-11-20 00:00:00,2019-11-20,2019-11-20,1855.3600000000001,0.0,0.0
905,F30321,6934,C,2.0,2019-11-21 10:47:14.000,2019-11-21,2019-11-15 00:00:00,2019-11-21,2019-11-21,727.8900000000001,0.0,0.0
913,F30329,6788,C,2.0,2019-11-21 13:40:00.000,2019-11-21,2019-11-21 00:00:00,2019-11-21,2019-11-29,1449.42,0.0,0.0
923,F30339,6942,C,2.0,2019-11-22 09:21:23.000,2019-11-22,2019-11-22 00:00:00,2019-11-22,2019-11-22,1418.98,0.0,0.0
937,F30353,6944,C,2.0,2019-11-22 13:18:27.000,2019-11-22,2019-11-22 00:00:00,2019-11-22,2019-11-22,2564.655,0.0,0.0
978,F30394,6950,C,2.0,2019-11-26 17:54:52.000,2019-11-26,2019-11-26 00:00:00,2019-11-26,2019-11-28,9353.45,0.0,0.0
985,F30401,2901,C,2.0,2019-11-27 12:56:42.000,2019-11-27,2019-11-13 00:00:00,2019-12-27,2019-11-27,1127.65,0.0,0.0
1001,F30417,6205,C,2.0,2019-11-28 09:57:15.000,2019-11-28,2019-11-22 00:00:00,2019-11-28,2019-11-28,19600.0,0.0,0.0
1014,F30430,5928,C,2.0,2019-11-28 16:41:03.000,2019-11-28,2019-11-22 00:00:00,2019-12-13,2019-11-28,2625.0,0.0,0.0
1024,F30440,3437,C,2.0,2019-11-29 12:48:21.000,2019-11-29,2019-11-29 00:00:00,2019-11-29,2019-11-29,1470.15,0.0,0.0
1045,F30461,5926,C,2.0,2019-11-29 18:31:19.000,2019-11-29,2019-11-29 00:00:00,2019-11-29,2019-12-02,332.52,0.0,0.0
1074,F30490,3032,C,2.0,2019-12-04 12:45:54.000,2019-12-04,2019-11-29 00:00:00,2019-12-04,2019-12-04,1417.5,0.0,0.0
1122,F30538,2465,C,1.0,2019-12-10 10:12:49.000,2019-12-10,2019-12-11 00:00:00,2019-12-25,2019-12-10,6834.0,0.0,0.0
1162,F30578,6969,C,3.0,2019-12-16 10:05:49.000,2019-12-16,2019-12-16 00:00:00,2019-12-16,2019-12-20,694.0,0.0,0.0
1166,F30582,5165,C,1.0,2019-12-16 11:22:34.000,2019-12-16,2019-12-11 00:00:00,2020-01-15,2019-12-18,1000.0,0.0,0.0
1168,F30584,6971,C,3.0,2019-12-16 13:42:04.000,2019-12-16,2019-12-16 00:00:00,2019-12-16,2019-12-16,2695.0,0.0,0.0
1170,F30586,5894,C,3.0,2019-12-16 14:23:52.000,2019-12-16,2019-12-16 00:00:00,2020-01-15,2019-12-16,3483.7799999999997,0.0,0.0
1197,F30613,806,C,2.0,2019-12-17 16:16:09.000,2019-12-17,2019-12-02 00:00:00,2020-01-01,2019-12-18,3029.2799999999997,0.0,0.0
1202,F30618,871,C,1.0,2019-12-18 08:01:56.000,2019-12-18,2019-12-13 00:00:00,2020-01-02,2019-12-18,2835.0,0.0,0.0
1226,F30642,6342,C,2.0,2019-12-19 13:59:50.000,2019-12-19,2019-12-19 00:00:00,2019-12-19,2019-12-20,228.0,0.0,0.0
1245,F30661,5926,C,2.0,2019-12-20 16:21:59.000,2019-12-20,2019-12-20 00:00:00,2019-12-20,2020-01-02,1034.48,0.0,0.0
1248,F30664,5926,C,2.0,2019-12-20 16:35:07.000,2019-12-20,2019-12-20 00:00:00,2019-12-20,2020-01-02,14600.0,0.0,0.0
1343,F30759,2465,C,1.0,2020-01-10 10:21:12.000,2020-01-10,2020-01-10 00:00:00,2020-01-25,2020-01-22,4230.0,0.0,0.0
1365,F30781,4430,C,1.0,2020-01-14 10:00:27.000,2020-01-14,2020-01-14 00:00:00,2020-01-14,2020-02-06,7771.0,0.0,0.0
1465,F30881,989,C,2.0,2020-01-22 17:11:36.000,2020-01-22,2020-01-13 00:00:00,2020-02-06,2020-01-22,1640.0000000000002,0.0,0.0
1503,F30919,7020,C,3.0,2020-01-27 13:32:28.000,2020-01-27,2020-01-27 00:00:00,2020-01-27,2020-01-30,14322.44,0.0,0.0
1562,F30978,6588,C,2.0,2020-01-31 17:25:48.000,2020-01-31,2020-01-31 00:00:00,2020-01-31,2020-01-31,851.8960000000001,0.0,0.0
1574,F30990,5926,C,2.0,2020-01-31 18:43:18.000,2020-01-31,2020-01-31 00:00:00,2020-01-31,2020-01-31,689.6551000000001,0.0,0.0
1594,F31010,7043,C,2.0,2020-02-05 13:40:53.000,2020-02-05,2020-02-05 00:00:00,2020-02-05,2020-02-06,414.4,0.0,0.0
1614,F31030,4420,C,2.0,2020-02-06 10:53:51.000,2020-02-06,2020-02-06 00:00:00,2020-02-06,2020-02-06,595.0,0.0,0.0
1620,F31036,4480,C,2.0,2020-02-06 12:14:24.000,2020-02-06,2020-02-06 00:00:00,2020-02-21,2020-02-14,9965.45,0.0,0.0
1660,F31076,7052,C,2.0,2020-02-10 13:25:16.000,2020-02-10,2020-02-10 00:00:00,2020-02-10,2020-02-10,634.0500000000001,0.0,0.0
1668,F31084,5603,C,2.0,2020-02-11 09:54:43.000,2020-02-11,2020-02-06 00:00:00,2020-02-11,2020-02-19,5073.700000000001,0.0,0.0
1673,F31089,6921,C,2.0,2020-02-11 13:11:39.000,2020-02-11,2020-02-11 00:00:00,2020-02-11,2020-02-11,189.00000000000003,0.0,0.0
1750,F31166,4668,C,2.0,2020-02-18 09:17:41.000,2020-02-18,2020-02-10 00:00:00,2020-02-18,2020-02-18,2762.9399999999996,0.0,0.0
1819,F31235,7068,C,2.0,2020-02-21 17:51:40.000,2020-02-21,2020-02-21 00:00:00,2020-02-21,2020-02-27,227.50000000000003,0.0,0.0
1835,F31251,7072,C,2.0,2020-02-24 13:53:52.000,2020-02-24,2020-02-24 00:00:00,2020-02-24,2020-02-27,592.091,0.0,0.0
1879,F31295,7079,C,2.0,2020-02-27 10:57:05.000,2020-02-27,2020-02-27 00:00:00,2020-02-27,2020-02-28,301.73,0.0,0.0
1941,F31357,5926,C,2.0,2020-02-28 19:27:20.000,2020-02-28,2020-02-28 00:00:00,2020-02-28,2020-03-02,2840.0,0.0,0.0
1945,F31361,5926,C,2.0,2020-02-28 19:39:58.000,2020-02-28,2020-02-28 00:00:00,2020-02-28,2020-03-02,442.1724,0.0,0.0
1963,F31379,7085,C,2.0,2020-03-03 12:28:29.000,2020-03-03,2020-03-02 00:00:00,2020-03-03,2020-03-03,637.0,0.0,0.0
2000,F31416,7020,C,3.0,2020-03-05 09:33:35.000,2020-03-05,2020-02-28 00:00:00,2020-03-05,2020-03-09,7228.6,0.0,0.0
2085,F31501,6396,C,3.0,2020-03-13 11:56:24.000,2020-03-13,2020-03-13 00:00:00,2020-03-13,2020-03-27,2999.73,0.0,0.0
2164,F31580,9,C,3.0,2020-03-23 11:05:27.000,2020-03-23,2020-03-11 00:00:00,2020-04-22,2020-03-24,3493.7500000000005,0.0,0.0
2262,F31678,5926,C,2.0,2020-03-31 17:14:49.000,2020-03-31,2020-03-31 00:00:00,2020-03-31,2020-04-01,3413.0517000000004,0.0,0.0
2264,F31680,180,C,3.0,2020-03-31 17:20:26.000,2020-03-31,2020-03-31 00:00:00,2020-04-15,2020-03-31,8326.5172,0.0,0.0
2268,F31684,7026,C,2.0,2020-03-31 17:31:41.000,2020-03-31,2020-03-31 00:00:00,2020-03-31,2020-04-01,4287.5,0.0,0.0
2271,F31687,180,C,3.0,2020-03-31 17:39:18.000,2020-03-31,2020-03-31 00:00:00,2020-04-15,2020-03-31,8326.5172,0.0,0.0
2277,F31693,4712,C,2.0,2020-04-02 08:23:04.000,2020-04-02,2020-03-23 00:00:00,2020-05-17,2020-04-02,2592.0,0.0,0.0
2300,F31716,2465,C,1.0,2020-04-08 08:55:50.000,2020-04-08,2020-04-08 00:00:00,2020-04-23,2020-04-16,2064.8,0.0,0.0
2345,F31761,5926,C,2.0,2020-04-27 14:05:40.000,2020-04-27,2020-04-27 00:00:00,2020-04-27,2020-04-29,7417.1,0.0,0.0
2488,F31904,8040,C,3.0,2020-05-29 13:41:49.000,2020-05-29,2020-05-29 00:00:00,2020-05-29,2020-06-03,5454.146500000001,0.0,0.0
2517,F31933,1965,C,2.0,2020-06-05 09:17:57.000,2020-06-05,2020-05-26 00:00:00,2020-06-20,2020-06-05,1922.25,288.34000000000003,0.0
2555,F31971,8040,C,3.0,2020-06-12 13:38:34.000,2020-06-12,2020-06-12 00:00:00,2020-06-12,2020-06-12,704.2875000000001,0.0,0.0
2591,F32007,8054,C,2.0,2020-06-17 14:58:41.000,2020-06-17,2020-06-17 00:00:00,2020-06-17,2020-06-22,1037.94,0.0,0.0
2647,F32063,2355,C,10.0,2020-06-24 14:59:46.000,2020-06-24,2020-06-24 00:00:00,2020-06-24,2020-06-25,1.0,0.0,0.0
2662,F32078,993,C,2.0,2020-06-26 09:59:54.000,2020-06-26,2020-06-17 00:00:00,2020-07-11,2020-06-26,5100.150000000001,0.0,0.0
2694,F32110,8045,C,2.0,2020-06-30 13:43:34.000,2020-06-30,2020-06-30 00:00:00,2020-06-30,2020-07-01,678.0172,0.0,0.0
2716,F32132,8074,C,2.0,2020-07-01 15:31:32.000,2020-07-01,2020-07-01 00:00:00,2020-07-01,2020-07-01,4706.4,0.0,0.0
2719,F32135,8074,C,2.0,2020-07-01 17:02:31.000,2020-07-01,2020-07-01 00:00:00,2020-07-01,2020-07-02,4702.0,0.0,0.0
2749,F32165,5141,C,2.0,2020-07-03 14:14:26.000,2020-07-03,2020-03-12 00:00:00,2020-07-03,2020-07-17,1117.8500000000001,0.0,0.0
2804,F32220,52,C,2.0,2020-07-10 17:35:58.000,2020-07-10,2020-06-25 00:00:00,2020-07-10,2020-07-13,1427.6000000000001,0.0,0.0
2805,F32221,52,C,2.0,2020-07-10 17:39:59.000,2020-07-10,2020-06-25 00:00:00,2020-07-10,2020-07-13,1427.6,0.0,0.0
2821,F32237,2963,C,2.0,2020-07-13 17:28:47.000,2020-07-13,2020-07-13 00:00:00,2020-07-13,2020-07-14,3062.9700000000003,0.0,0.0
2829,F32245,3916,C,1.0,2020-07-14 14:02:46.000,2020-07-14,2020-07-14 00:00:00,2020-07-29,2020-07-14,2390.0,0.0,0.0
3006,F32422,4430,C,1.0,2020-07-31 14:57:30.000,2020-07-31,2020-07-31 00:00:00,2020-07-31,2020-08-28,9480.0,0.0,0.0
3041,F32457,6451,C,3.0,2020-08-05 16:03:35.890,2020-08-05,2020-07-31 00:00:00,2020-08-13,2020-08-05,3950.0000000000005,0.0,0.0
3047,F32463,8108,C,6.0,2020-08-05 17:56:28.243,2020-08-05,2020-08-05 00:00:00,2020-08-05,2020-08-10,3920.0000000000005,0.0,0.0
3053,F32469,5644,C,2.0,2020-08-07 09:03:12.307,2020-08-07,2020-08-07 00:00:00,2020-08-22,2020-09-04,4990.0,0.0,0.0
3061,F32477,4000,C,2.0,2020-08-07 13:56:05.237,2020-08-07,2020-07-29 00:00:00,2020-08-07,2020-08-07,6693.88,0.0,0.0
3125,F32541,4430,C,2.0,2020-08-14 16:45:43.400,2020-08-14,2020-08-03 00:00:00,2020-08-14,2020-08-20,1896.0,0.0,0.0
3154,F32570,8121,C,2.0,2020-08-19 13:19:06.770,2020-08-19,2020-08-19 00:00:00,2020-08-19,2020-08-19,406.46000000000004,0.0,0.0
3237,F32653,8129,C,2.0,2020-08-27 09:39:24.883,2020-08-27,2020-08-27 00:00:00,2020-08-27,2020-08-31,243.10125,0.0,0.0
3250,F32666,5233,C,2.0,2020-08-27 17:09:33.400,2020-08-27,2020-08-12 00:00:00,2020-08-27,2020-08-27,4992.68,0.0,0.0
3265,F32681,6658,C,2.0,2020-08-31 09:26:20.883,2020-08-31,2020-08-31 00:00:00,2020-08-31,2020-08-31,230.0,0.0,0.0
3266,F32682,4810,C,2.0,2020-08-31 11:07:38.523,2020-08-31,2020-08-18 00:00:00,2020-09-15,2020-08-31,26413.0,0.0,0.0
3267,F32683,1802,C,10.0,2020-08-31 13:27:01.277,2020-08-31,2020-08-31 00:00:00,2020-08-31,2020-08-31,8.0,0.0,0.0
3272,F32688,8109,C,2.0,2020-08-31 14:07:36.507,2020-08-31,2020-08-31 00:00:00,2020-08-31,2020-08-31,258.62,0.0,0.0
3283,F32699,3943,C,2.0,2020-08-31 15:08:26.480,2020-08-31,2020-08-31 00:00:00,2020-08-31,2020-08-31,1485.3448,0.0,0.0
3284,F32700,8109,C,2.0,2020-08-31 15:15:27.253,2020-08-31,2020-08-31 00:00:00,2020-08-31,2020-08-31,1485.3448,0.0,0.0
3462,F32878,3846,C,6.0,2020-09-21 16:46:13.747,2020-09-21,2020-09-17 00:00:00,2020-10-21,2020-09-28,5754.0,0.0,0.0
3588,F33004,6080,C,2.0,2020-10-02 13:54:05.127,2020-10-02,2020-10-02 00:00:00,2020-10-02,2020-10-02,3605.715,0.0,0.0
3599,F33015,1539,C,2.0,2020-10-05 09:35:36.660,2020-10-05,2020-10-01 00:00:00,2020-11-04,2020-10-07,1960.0,0.0,0.0
3668,F33084,484,C,2.0,2020-10-12 12:50:17.060,2020-10-12,2020-10-12 00:00:00,2020-10-27,2020-10-30,6012.27,0.0,0.0
3868,F33284,3009,C,6.0,2020-10-30 09:08:54.450,2020-10-30,2020-10-30 00:00:00,2020-10-30,2020-10-30,172.39091100000002,0.0,0.0
3905,F33321,253,C,6.0,2020-11-04 13:26:11.453,2020-11-04,2020-11-03 00:00:00,2020-12-19,2020-11-04,2700.0,0.0,0.0
3968,F33384,1016,C,6.0,2020-11-12 09:41:24.147,2020-11-12,2020-11-03 00:00:00,2020-11-12,2020-11-17,1530.0000000000002,0.0,0.0
3979,F33395,1539,C,6.0,2020-11-13 09:09:38.653,2020-11-13,2020-11-13 00:00:00,2020-12-13,2020-11-18,51180.00000000001,0.0,0.0
3984,F33400,1016,C,6.0,2020-11-13 12:37:40.927,2020-11-13,2020-11-17 00:00:00,2020-11-13,2020-11-17,5610.000000000001,0.0,0.0
4166,F33582,7053,C,3.0,2020-11-30 17:33:16.163,2020-11-30,2020-11-30 00:00:00,2020-11-30,2021-02-12,1637.931,0.0,0.0
4233,F33649,3446,C,2.0,2020-12-07 11:25:31.597,2020-12-07,2020-12-07 00:00:00,2020-12-07,2020-12-08,2361.9896900000003,0.0,0.0
4239,F33655,5926,C,2.0,2020-12-07 14:40:03.827,2020-12-07,2020-12-07 00:00:00,2020-12-07,2020-12-09,645.6781000000001,0.0,0.0
4301,F33717,8262,C,6.0,2020-12-14 14:02:12.490,2020-12-14,2020-12-14 00:00:00,2020-12-14,2020-12-14,892.0,0.0,0.0
4344,F33760,5894,C,6.0,2020-12-18 08:40:50.543,2020-12-18,2020-12-18 00:00:00,2021-01-17,2020-12-21,4490.0,0.0,0.0
4357,F33773,8262,C,2.0,2020-12-18 17:56:50.783,2020-12-18,2020-12-18 00:00:00,2020-12-18,2020-12-21,1152.22,0.0,0.0
4417,F33833,5644,C,2.0,2021-01-06 14:24:27.497,2021-01-06,2021-01-06 00:00:00,2021-01-21,2021-02-25,4990.0,0.0,0.0
4426,F33842,3074,C,2.0,2021-01-07 12:34:57.907,2021-01-07,2021-01-07 00:00:00,2021-01-22,2021-01-13,218.75,0.0,0.0
4533,F33949,417,C,2.0,2021-01-21 08:07:21.993,2021-01-21,2021-01-15 00:00:00,2021-02-05,2021-01-22,6300.0,0.0,0.0
4550,F33966,5045,C,2.0,2021-01-22 12:45:39.027,2021-01-22,2021-01-19 00:00:00,2021-01-22,2021-01-27,1577.5800000000002,0.0,0.0
4596,F34012,0,C,2.0,2021-01-27 16:33:41.007,2021-01-27,2021-01-27 00:00:00,2021-01-27,2021-02-09,1560.0000000000002,0.0,0.0
4643,F34059,8229,C,2.0,2021-01-29 13:41:00.520,2021-01-29,2021-01-29 00:00:00,2021-01-29,2021-01-29,3637.5000000000005,0.0,0.0
4670,F34086,5423,C,6.0,2021-02-03 08:31:32.810,2021-02-03,2021-02-03 00:00:00,2021-03-05,2021-02-16,3150.0000000000005,0.0,0.0
4684,F34100,5944,C,2.0,2021-02-04 09:44:39.473,2021-02-04,2021-02-04 00:00:00,2021-02-04,2021-02-04,949.6419999999999,0.0,0.0
4700,F34116,5926,C,2.0,2021-02-04 16:39:58.977,2021-02-04,2021-02-03 00:00:00,2021-02-04,2021-02-05,1127.476,0.0,0.0
4706,F34122,5926,C,2.0,2021-02-05 11:09:19.910,2021-02-05,2021-02-03 00:00:00,2021-02-05,2021-02-26,329.576,0.0,0.0
4747,F34163,3388,C,2.0,2021-02-10 13:54:42.310,2021-02-10,2021-02-03 00:00:00,2021-02-10,2021-02-19,22695.000000000004,0.0,0.0
4763,F34179,6777,C,2.0,2021-02-12 10:50:19.760,2021-02-12,2021-02-12 00:00:00,2021-02-12,2021-02-26,120.00000000000001,0.0,0.0
4846,F34262,5644,C,2.0,2021-02-19 09:49:44.273,2021-02-19,2021-02-19 00:00:00,2021-02-19,2021-02-19,4990.0,0.0,0.0
4881,F34297,4675,C,6.0,2021-02-23 11:50:42.130,2021-02-23,2021-01-22 00:00:00,2021-03-25,2021-06-03,8918.000000000002,0.0,0.0
4916,F34332,5926,C,2.0,2021-02-24 16:19:49.490,2021-02-24,2020-08-03 00:00:00,2021-02-24,2021-02-25,1160.0,0.0,0.0
4964,F34380,5918,C,6.0,2021-03-01 12:46:02.387,2021-03-01,2021-03-01 00:00:00,2021-03-01,2021-03-30,1417.5000000000002,0.0,0.0
5066,F34482,6451,C,3.0,2021-03-10 10:46:00.413,2021-03-10,2021-03-10 00:00:00,2021-03-18,2021-03-11,4250.0,0.0,0.0
5076,F34492,8282,C,2.0,2021-03-10 16:28:29.813,2021-03-10,2021-03-10 00:00:00,2021-03-10,2021-03-16,2655.6000000000004,0.0,0.0
5230,F34646,8297,C,2.0,2021-03-29 11:12:01.023,2021-03-29,2021-03-29 00:00:00,2021-03-29,2021-03-30,700.8620000000001,0.0,0.0
5410,F34826,5926,C,2.0,2021-04-20 10:36:09.097,2021-04-20,2021-04-09 00:00:00,2021-04-20,2021-04-23,4805.900000000001,0.0,0.0
5454,F34870,1965,C,2.0,2021-04-23 09:30:52.877,2021-04-23,2021-04-23 00:00:00,2021-05-23,2021-04-26,2563.75,303.56,0.0
5456,F34872,1965,C,2.0,2021-04-23 09:36:28.683,2021-04-23,2021-04-23 00:00:00,2021-05-23,2021-04-26,1888.75,202.31,0.0
5475,F34891,6941,C,6.0,2021-04-26 13:50:05.223,2021-04-26,2021-03-30 00:00:00,2021-05-26,2021-04-28,5962.500000000001,0.0,0.0
5488,F34904,4082,C,2.0,2021-04-27 16:38:32.773,2021-04-27,2021-04-27 00:00:00,2021-04-27,2021-04-28,250.00000000000003,0.0,0.0
